Date,Gold_Close,USD_Close,avg_sentiment,news_count
2018-07-25,29959.0,94.36,-0.00624,65.0
2018-07-26,29836.0,94.75,0.022161333,75.0
2018-07-27,29805.0,94.67,0.073232558,43.0
2018-07-30,29755.0,94.32,-0.028057407,54.0
2018-07-31,29638.0,94.49,-0.029650562,89.0
2018-08-01,29462.0,94.62,0.017655319,47.0
2018-08-02,29520.0,95.16,-0.055570513,78.0
2018-08-03,29800.0,95.14,0.059160526,38.0
2018-08-06,29563.0,95.36,0.003445614,57.0
2018-08-07,29534.0,95.22,0.044420339,59.0
2018-08-08,29544.0,95.05,-0.072505634,71.0
2018-08-09,29605.0,95.5,0.008292727,55.0
2018-08-10,29706.0,96.36,-0.180979167,48.0
2018-08-13,29665.0,96.39,-0.094242105,57.0
2018-08-14,29664.0,96.73,-0.050192308,52.0
2018-08-16,29275.0,96.64,-0.012286538,52.0
2018-08-17,29275.0,96.1,-0.034365789,38.0
2018-08-20,29435.0,95.9,-0.065433333,72.0
2018-08-21,29542.0,95.26,0.042007692,26.0
2018-08-22,29627.0,95.15,0.054675,52.0
2018-08-23,29576.0,95.67,-0.079275,64.0
2018-08-24,29882.0,95.15,-0.109625,56.0
2018-08-27,29973.0,94.78,-0.036912903,62.0
2018-08-28,29981.0,94.72,0.006021569,51.0
2018-08-29,30144.0,94.6,-0.026146154,52.0
2018-08-30,30131.0,94.72,-0.055223214,56.0
2018-08-31,30116.0,95.14,-0.01949403,67.0
2018-09-03,30327.0,95.14,-0.014012121,33.0
2018-09-04,30221.0,95.44,-0.02662,60.0
2018-09-05,30310.0,95.18,-0.029594505,91.0
2018-09-06,30565.0,95.02,-0.036450877,57.0
2018-09-07,30509.0,95.36,-0.012941667,60.0
2018-09-10,30725.0,95.15,-0.009684906,53.0
2018-09-11,30732.0,95.25,-0.00124127,63.0
2018-09-12,30664.0,94.8,-0.033917391,69.0
2018-09-13,30470.0,94.52,-0.040912766,94.0
2018-09-14,30453.0,94.93,0.049312857,70.0
2018-09-17,30778.0,94.5,-0.039075,60.0
2018-09-18,30811.0,94.64,-0.094552381,63.0
2018-09-19,30649.0,94.54,-0.050759649,57.0
2018-09-20,30623.0,93.91,-0.104475,84.0
2018-09-21,30609.0,94.22,-0.072430435,46.0
2018-09-24,30862.0,94.19,-0.016228,50.0
2018-09-25,30838.0,94.13,-0.006818966,58.0
2018-09-26,30608.0,94.19,-0.037107246,69.0
2018-09-27,30356.0,94.89,-0.021798077,52.0
2018-09-28,30479.0,95.13,-0.038754286,70.0
2018-10-01,30614.0,95.3,0.029847917,96.0
2018-10-03,31025.0,95.76,-0.06272,55.0
2018-10-04,31136.0,95.75,-0.002087671,73.0
2018-10-05,31233.0,95.62,-0.071231034,58.0
2018-10-08,31096.0,95.76,0.048014,50.0
2018-10-09,31161.0,95.67,0.032165517,58.0
2018-10-10,31247.0,95.51,0.039303279,61.0
2018-10-11,31793.0,95.02,0.063342857,70.0
2018-10-12,31670.0,95.22,-0.050751163,86.0
2018-10-15,31877.0,95.06,0.024394828,58.0
2018-10-16,31701.0,95.05,0.039669118,68.0
2018-10-17,31702.0,95.58,-0.006578378,74.0
2018-10-18,31885.0,95.9,-0.026088,75.0
2018-10-19,31737.0,95.71,-0.063931746,63.0
2018-10-22,31729.0,96.01,-0.036137037,54.0
2018-10-23,31871.0,95.96,0.026454545,66.0
2018-10-24,31723.0,96.43,-0.011670667,75.0
2018-10-25,31683.0,96.68,0.076783495,103.0
2018-10-26,31764.0,96.36,-0.005159649,57.0
2018-10-29,31730.0,96.58,-0.005778788,66.0
2018-10-30,31725.0,97.01,0.048222581,62.0
2018-10-31,31631.0,97.13,0.013302,50.0
2018-11-01,31783.0,96.28,-0.019256716,67.0
2018-11-02,31737.0,96.54,-0.012201695,59.0
2018-11-05,31783.0,96.28,0.009213889,108.0
2018-11-06,31657.0,96.32,0.026933333,63.0
2018-11-07,31602.0,96.0,0.069383333,48.0
2018-11-08,31408.0,96.72,0.034559551,89.0
2018-11-09,31023.0,96.91,-0.041877193,57.0
2018-11-12,31014.0,97.54,0.060542857,49.0
2018-11-13,30778.0,97.3,-0.097535821,67.0
2018-11-14,30838.0,96.8,-0.079335135,74.0
2018-11-15,30831.0,96.93,-0.095283696,92.0
2018-11-16,31017.0,96.47,0.009096296,54.0
2018-11-19,30888.0,96.19,-0.11789125,80.0
2018-11-20,30830.0,96.84,0.016240541,74.0
2018-11-21,30839.0,96.71,-0.083886207,58.0
2018-11-22,30613.0,96.71,-0.080749231,65.0
2018-11-23,30513.0,96.92,0.002480357,56.0
2018-11-26,30574.0,97.07,-0.0494625,56.0
2018-11-27,30423.0,97.37,0.037790141,71.0
2018-11-28,30457.0,96.79,-0.114958333,84.0
2018-11-29,30253.0,96.78,-0.063381579,76.0
2018-11-30,30186.0,97.27,-0.020762963,81.0
2018-12-03,30787.0,97.04,-0.018854667,75.0
2018-12-04,30964.0,96.97,-0.0307375,80.0
2018-12-05,30926.0,97.07,0.006374026,77.0
2018-12-06,31005.0,96.81,-0.12700354,113.0
2018-12-07,31440.0,96.51,-0.090907792,77.0
2018-12-10,31895.0,97.22,-0.08586875,48.0
2018-12-11,31812.0,97.39,-0.162274138,58.0
2018-12-12,31626.0,97.04,-0.005551667,60.0
2018-12-13,31414.0,97.06,-0.049193333,75.0
2018-12-14,31437.0,97.44,0.024259155,71.0
2018-12-17,31501.0,97.1,-0.072672581,62.0
2018-12-18,31075.0,97.1,-0.102646575,73.0
2018-12-19,31139.0,97.03,-0.021621951,82.0
2018-12-20,31219.0,96.28,0.035544578,83.0
2018-12-21,31126.0,96.96,0.018219403,67.0
2018-12-24,31375.0,96.55,-0.128973684,19.0
2018-12-26,31463.0,97.05,-0.010356522,23.0
2018-12-27,31611.0,96.48,0.056332609,46.0
2018-12-28,31506.0,96.4,5.2381e-05,42.0
2018-12-31,31489.0,96.17,-0.01288,15.0
2019-01-01,31560.0,96.17,-0.0783875,24.0
2019-01-02,31934.0,96.82,-0.039877273,44.0
2019-01-03,31939.0,96.31,-0.170549057,53.0
2019-01-04,31679.0,96.18,-0.083385965,57.0
2019-01-07,31652.0,95.67,-0.011366071,56.0
2019-01-08,31736.0,95.9,0.098676744,43.0
2019-01-09,31993.0,95.22,-0.071564179,67.0
2019-01-10,31878.0,95.54,-0.023922549,102.0
2019-01-11,31924.0,95.67,-0.049920896,67.0
2019-01-14,32130.0,95.61,-0.042181967,61.0
2019-01-15,32169.0,96.04,0.082046575,73.0
2019-01-16,32272.0,96.06,-0.023071831,71.0
2019-01-17,32253.0,96.06,0.030581159,69.0
2019-01-18,32089.0,96.34,-0.044679412,68.0
2019-01-21,32039.0,96.34,-0.077145763,59.0
2019-01-22,32154.0,96.3,-0.01692619,84.0
2019-01-23,32135.0,96.12,-0.059292857,84.0
2019-01-24,32016.0,96.6,-0.008130864,81.0
2019-01-25,32339.0,95.79,0.03676338,71.0
2019-01-28,32536.0,95.75,-0.065493023,86.0
2019-01-29,32891.0,95.82,0.014983333,72.0
2019-01-30,32903.0,95.34,0.011605556,72.0
2019-01-31,33100.0,95.58,0.036411607,112.0
2019-02-01,33405.0,95.58,0.043349206,63.0
2019-02-04,33455.0,95.85,0.007925,68.0
2019-02-05,33381.0,96.07,-0.003954412,68.0
2019-02-06,33222.0,96.39,0.025076119,67.0
2019-02-07,33056.0,96.51,-0.042566667,84.0
2019-02-08,33125.0,96.64,-0.069118421,38.0
2019-02-11,32931.0,97.06,0.046101887,53.0
2019-02-12,32747.0,96.71,0.091457895,76.0
2019-02-13,32909.0,97.13,0.066977528,89.0
2019-02-14,32970.0,96.98,-0.010002326,86.0
2019-02-15,33263.0,96.9,0.003405333,75.0
2019-02-18,33463.0,96.9,-0.017294595,37.0
2019-02-19,33753.0,96.52,-0.04649375,80.0
2019-02-20,33719.0,96.45,-0.049983099,71.0
2019-02-21,33302.0,96.61,-0.045882716,81.0
2019-02-22,33369.0,96.51,-0.019229091,55.0
2019-02-25,33159.0,96.41,-0.067531944,72.0
2019-02-26,33228.0,96.0,-0.052351163,86.0
2019-02-27,33171.0,96.15,0.059101299,77.0
2019-02-28,32902.0,96.16,-0.020411538,78.0
2019-03-01,32533.0,96.53,0.016450685,73.0
2019-03-04,32505.0,96.68,-0.071749057,53.0
2019-03-05,32015.0,96.87,-0.060821795,78.0
2019-03-06,31954.0,96.87,-0.085113483,89.0
2019-03-07,31946.0,97.67,0.014275806,62.0
2019-03-08,32174.0,97.31,-0.052419231,52.0
2019-03-11,31915.0,97.22,-0.024934,100.0
2019-03-12,32015.0,96.94,-0.043196078,102.0
2019-03-13,32225.0,96.55,-0.088197321,112.0
2019-03-14,31832.0,96.78,-0.037807477,107.0
2019-03-15,31853.0,96.59,-0.06327069,58.0
2019-03-18,31685.0,96.52,-0.098238028,71.0
2019-03-19,31985.0,96.38,-0.108858462,65.0
2019-03-20,31740.0,95.76,-0.071296296,81.0
2019-03-21,31842.0,96.5,0.009253521,71.0
2019-03-22,32155.0,96.65,0.001212,75.0
2019-03-25,32223.0,96.57,-0.003322857,70.0
2019-03-26,32113.0,96.74,-0.0328,81.0
2019-03-27,32019.0,96.77,-0.055865714,70.0
2019-03-28,31624.0,97.2,-0.069593243,74.0
2019-03-29,31703.0,97.28,0.031769565,69.0
2019-04-01,31570.0,97.23,-0.012977419,62.0
2019-04-02,31535.0,97.36,0.014781579,76.0
2019-04-03,31450.0,97.09,-0.007464286,84.0
2019-04-04,31503.0,97.31,-0.04778375,80.0
2019-04-05,31566.0,97.39,-0.043785075,67.0
2019-04-08,32076.0,97.05,-0.006617391,69.0
2019-04-09,32098.0,97.01,-0.035953333,75.0
2019-04-10,32174.0,96.95,-0.066840984,61.0
2019-04-11,31663.0,97.18,-0.0278125,80.0
2019-04-12,31760.0,96.97,0.012604878,82.0
2019-04-15,31760.0,96.94,0.023386667,75.0
2019-04-16,31474.0,97.04,0.073415385,52.0
2019-04-17,31410.0,97.01,0.059928571,91.0
2019-04-18,31403.0,97.47,0.040157692,78.0
2019-04-22,31531.0,97.29,-0.030079688,64.0
2019-04-23,31525.0,97.64,0.009585556,90.0
2019-04-24,31759.0,98.17,0.017393056,72.0
2019-04-25,31843.0,98.2,-0.02869,90.0
2019-04-26,31868.0,98.01,0.037622973,74.0
2019-04-30,31625.0,97.48,0.085407143,84.0
2019-05-01,31563.0,97.69,0.072262687,67.0
2019-05-02,31203.0,97.83,-0.063955294,85.0
2019-05-03,31341.0,97.52,0.081173077,26.0
2019-05-06,31578.0,97.52,-0.005079245,53.0
2019-05-07,31739.0,97.63,0.023252,75.0
2019-05-08,31697.0,97.62,-0.029013514,74.0
2019-05-09,31926.0,97.37,0.101369014,71.0
2019-05-10,31917.0,97.33,0.009744792,96.0
2019-05-13,32499.0,97.32,-0.056315854,82.0
2019-05-14,32248.0,97.53,-0.053576316,76.0
2019-05-15,32261.0,97.57,-0.03459359,78.0
2019-05-16,31985.0,97.86,-0.056904598,87.0
2019-05-17,31809.0,98.0,-0.125902703,74.0
2019-05-20,31566.0,97.93,-0.10672459,61.0
2019-05-21,31442.0,98.06,-0.172773973,73.0
2019-05-22,31452.0,98.04,-0.038066216,74.0
2019-05-23,31696.0,97.86,-0.113108511,94.0
2019-05-24,31554.0,97.61,-0.026163333,30.0
2019-05-27,31630.0,97.61,0.03037931,29.0
2019-05-28,31569.0,97.95,0.103341667,48.0
2019-05-29,31760.0,98.14,-0.099309677,62.0
2019-05-30,31831.0,98.14,-0.0948375,64.0
2019-05-31,32131.0,97.75,-0.068376563,64.0
2019-06-03,32405.0,97.14,-0.044111429,70.0
2019-06-04,32465.0,97.07,-0.02038,80.0
2019-06-05,32607.0,97.32,-0.020716129,93.0
2019-06-06,32734.0,97.04,-0.03300641,78.0
2019-06-07,32867.0,96.54,-0.079804286,70.0
2019-06-10,32611.0,96.76,0.030934783,69.0
2019-06-11,32576.0,96.69,0.019501613,62.0
2019-06-12,32685.0,97.0,-0.018581333,75.0
2019-06-13,32884.0,97.01,-0.085947059,68.0
2019-06-14,32984.0,97.57,-0.025062295,61.0
2019-06-17,32961.0,97.56,-0.058571053,38.0
2019-06-18,32939.0,97.64,-0.032650526,95.0
2019-06-19,32976.0,97.12,-0.005893548,93.0
2019-06-20,33838.0,96.63,-0.065335185,54.0
2019-06-21,33960.0,96.22,-0.124795238,63.0
2019-06-24,34214.0,95.98,-0.091933333,60.0
2019-06-25,34300.0,96.14,-0.033816393,61.0
2019-06-26,34135.0,96.21,-0.113719512,82.0
2019-06-27,33931.0,96.19,-0.073511268,71.0
2019-06-28,33947.0,96.13,0.07127069,58.0
2019-07-01,33348.0,96.84,-0.044566102,59.0
2019-07-02,33779.0,96.73,0.062472581,62.0
2019-07-03,34077.0,96.77,-0.06697234,47.0
2019-07-04,34023.0,96.77,-0.0598075,40.0
2019-07-05,34370.0,97.29,0.014954902,51.0
2019-07-08,34535.0,97.38,-0.064801786,56.0
2019-07-09,34533.0,97.49,-0.053283871,62.0
2019-07-10,34765.0,97.1,-0.003209836,61.0
2019-07-11,34612.0,97.05,0.001027119,59.0
2019-07-12,34812.0,96.81,-0.005467568,37.0
2019-07-15,34792.0,96.93,-0.006780597,67.0
2019-07-16,34738.0,97.39,0.016985915,71.0
2019-07-17,35039.0,97.22,-0.001844,50.0
2019-07-18,35117.0,96.79,-0.003920313,64.0
2019-07-19,35033.0,97.15,-0.032986538,52.0
2019-07-22,35143.0,97.26,0.022765455,55.0
2019-07-23,35030.0,97.7,0.061883077,65.0
2019-07-24,35036.0,97.73,-0.022108065,62.0
2019-07-25,34850.0,97.82,-0.008677273,88.0
2019-07-26,34815.0,98.01,0.159123077,39.0
2019-07-29,34788.0,98.04,0.0333375,56.0
2019-07-30,34737.0,98.05,-0.060029487,78.0
2019-07-31,34714.0,98.52,-0.067224691,81.0
2019-08-01,35134.0,98.37,-0.133645283,106.0
2019-08-02,35705.0,98.07,-0.029912,50.0
2019-08-05,36711.0,97.52,-0.064245313,64.0
2019-08-06,37182.0,97.63,-0.070920968,62.0
2019-08-07,37899.0,97.54,-0.002319718,71.0
2019-08-08,37311.0,97.62,-0.017455172,58.0
2019-08-09,37558.0,97.49,-0.090315094,53.0
2019-08-12,37812.0,97.38,-0.045397015,67.0
2019-08-13,37268.0,97.81,-0.052933333,60.0
2019-08-14,37688.0,97.99,0.014066667,60.0
2019-08-16,37487.0,98.14,-0.119515686,51.0
2019-08-19,37484.0,98.35,-0.194286957,46.0
2019-08-20,37640.0,98.19,-0.028405882,68.0
2019-08-21,37598.0,98.3,-0.04993913,69.0
2019-08-22,37779.0,98.17,-0.0939,63.0
2019-08-23,38357.0,97.64,-0.096691964,112.0
2019-08-26,38415.0,98.08,-0.005196154,52.0
2019-08-27,38644.0,98.0,-0.12149403,67.0
2019-08-28,38772.0,98.21,-0.042932394,71.0
2019-08-29,38426.0,98.51,-0.009769231,65.0
2019-08-30,38300.0,98.92,-0.083461194,67.0
2019-09-02,38708.0,98.92,-0.047124444,45.0
2019-09-03,39314.0,99.0,-0.102308197,61.0
2019-09-04,39337.0,98.45,-0.043513433,67.0
2019-09-05,38504.0,98.41,-0.013782857,70.0
2019-09-06,38551.0,98.39,0.022706897,29.0
2019-09-09,38459.0,98.28,-0.012165152,66.0
2019-09-10,38248.0,98.33,-0.048373469,49.0
2019-09-11,37965.0,98.64,-0.079741791,67.0
2019-09-12,37747.0,98.31,-0.053112963,108.0
2019-09-13,37517.0,98.26,0.041683871,31.0
2019-09-16,38161.0,98.61,-0.17837439,82.0
2019-09-17,37995.0,98.26,-0.059561,100.0
2019-09-18,37837.0,98.56,-0.139333784,74.0
2019-09-19,37672.0,98.27,0.008941772,79.0
2019-09-20,37669.0,98.51,-0.115592308,78.0
2019-09-23,37905.0,98.6,-0.077861475,122.0
2019-09-24,38091.0,98.34,-0.121562222,90.0
2019-09-25,37571.0,99.04,-0.084006306,111.0
2019-09-26,37773.0,99.13,0.006411538,78.0
2019-09-27,37706.0,99.11,-0.061624324,74.0
2019-09-30,36873.0,99.38,-0.060610345,58.0
2019-10-01,37377.0,99.13,-0.145570313,64.0
2019-10-03,38012.0,98.86,-0.068994805,77.0
2019-10-04,38002.0,98.81,-0.044553731,67.0
2019-10-07,37978.0,98.97,-0.14925,54.0
2019-10-08,38242.0,99.13,-0.065883099,71.0
2019-10-09,38384.0,99.12,-0.036260526,76.0
2019-10-10,38120.0,98.7,-0.070603659,82.0
2019-10-11,37839.0,98.3,-0.022736709,79.0
2019-10-14,38250.0,98.45,-0.038,56.0
2019-10-15,38067.0,98.29,0.022570513,78.0
2019-10-16,38248.0,98.0,-0.056904054,74.0
2019-10-17,38216.0,97.61,-0.053432099,81.0
2019-10-18,38121.0,97.28,-0.003960317,63.0
2019-10-21,37969.0,97.33,-0.029871667,60.0
2019-10-22,38025.0,97.53,-0.024639744,78.0
2019-10-23,38124.0,97.49,0.0181,75.0
2019-10-24,38452.0,97.63,0.069907595,79.0
2019-10-25,38362.0,97.83,-0.00995,86.0
2019-10-28,38103.0,97.76,0.053015094,53.0
2019-10-29,38110.0,97.69,0.00405,88.0
2019-10-30,38369.0,97.65,-0.02988018,111.0
2019-10-31,38842.0,97.35,0.025683607,122.0
2019-11-01,38652.0,97.24,0.036987,100.0
2019-11-04,38734.0,97.5,-0.004813415,82.0
2019-11-05,38458.0,97.98,0.027495181,83.0
2019-11-06,38239.0,97.95,0.025502247,89.0
2019-11-07,37595.0,98.14,-0.010544554,101.0
2019-11-08,37705.0,98.35,0.007970968,62.0
2019-11-11,37688.0,98.2,0.004870769,65.0
2019-11-12,37740.0,98.31,-0.021373016,63.0
2019-11-13,38107.0,98.37,-0.014919355,93.0
2019-11-14,38269.0,98.16,0.027723684,76.0
2019-11-15,38002.0,98.0,0.007006494,77.0
2019-11-18,38228.0,97.79,0.021642857,77.0
2019-11-19,38206.0,97.86,-0.047597333,75.0
2019-11-20,38155.0,97.93,0.031590991,111.0
2019-11-21,37971.0,97.99,-0.000218987,79.0
2019-11-22,37927.0,98.27,-0.018817333,75.0
2019-11-25,37782.0,98.32,0.080959722,72.0
2019-11-26,37775.0,98.25,-0.012475385,65.0
2019-11-27,37578.0,98.37,0.0884,44.0
2019-11-28,37780.0,98.37,-0.037289189,74.0
2019-11-29,37961.0,98.27,-0.021186441,59.0
2019-12-02,37915.0,97.86,-0.052956923,65.0
2019-12-03,38267.0,97.74,-0.071317978,89.0
2019-12-04,38188.0,97.65,-0.007983824,68.0
2019-12-05,38095.0,97.41,0.020048276,58.0
2019-12-06,37748.0,97.7,0.090929091,55.0
