date,avg_sentiment,news_count
2018-10-10,0.039303279,61
2018-10-11,0.063342857,70
2018-10-12,-0.050751163,86
2018-10-13,-0.051455556,9
2018-10-14,-0.080351852,27
2018-10-15,0.024394828,58
2018-10-16,0.039669118,68
2018-10-17,-0.006578378,74
2018-10-18,-0.026088,75
2018-10-19,-0.063931746,63
2018-10-20,0.008433333,3
2018-10-21,-0.072275862,29
2018-10-22,-0.036137037,54
2018-10-23,0.026454545,66
2018-10-24,-0.011670667,75
2018-10-25,0.076783495,103
2018-10-26,-0.005159649,57
2018-10-27,0.20095,2
2018-10-28,-0.08074,25
2018-10-29,-0.005778788,66
2018-10-30,0.048222581,62
2018-10-31,0.013302,50
2018-11-01,-0.019256716,67
2018-11-02,-0.012201695,59
2018-11-03,-0.077491667,24
2018-11-04,0.04007,10
2018-11-05,0.009213889,108
2018-11-06,0.026933333,63
2018-11-07,0.069383333,48
2018-11-08,0.034559551,89
2018-11-09,-0.041877193,57
2018-11-10,-0.239166667,3
2018-11-11,-0.047948148,27
2018-11-12,0.060542857,49
2018-11-13,-0.097535821,67
2018-11-14,-0.079335135,74
2018-11-15,-0.095283696,92
2018-11-16,0.009096296,54
2018-11-17,0.35075,4
2018-11-18,-0.072726923,26
2018-11-19,-0.11789125,80
2018-11-20,0.016240541,74
2018-11-21,-0.083886207,58
2018-11-22,-0.080749231,65
2018-11-23,0.002480357,56
2018-11-24,0.00285,6
2018-11-25,-0.0409125,32
2018-11-26,-0.0494625,56
2018-11-27,0.037790141,71
2018-11-28,-0.114958333,84
2018-11-29,-0.063381579,76
2018-11-30,-0.020762963,81
2018-12-01,0.004417949,39
2018-12-02,-0.063036364,11
2018-12-03,-0.018854667,75
2018-12-04,-0.0307375,80
2018-12-05,0.006374026,77
2018-12-06,-0.12700354,113
2018-12-07,-0.090907792,77
2018-12-08,-0.174275,8
2018-12-09,-0.174132143,28
2018-12-10,-0.08586875,48
2018-12-11,-0.162274138,58
2018-12-12,-0.005551667,60
2018-12-13,-0.049193333,75
2018-12-14,0.024259155,71
