Date,Gold_Close,USD_Close,avg_sentiment,news_count,Gold_7day_MA,Gold_30day_MA,USD_7day_MA
2018-07-12,30175.0,94.81,-0.0403125,56.0,30477.285714285714,30638.7,94.42
2018-07-13,30131.0,94.75,-0.027568132,91.0,30423.14285714286,30624.133333333335,94.43142857142858
2018-07-16,30103.0,94.51,0.030072289,83.0,30360.571428571428,30603.966666666667,94.43714285714286
2018-07-17,29757.0,94.94,-0.039666667,81.0,30242.714285714286,30572.566666666666,94.56571428571428
2018-07-18,29799.0,95.08,0.006814943,87.0,30122.85714285714,30540.7,94.70857142857143
2018-07-19,29913.0,95.15,-0.083260215,93.0,30031.714285714286,30502.633333333335,94.85142857142857
2018-07-20,29957.0,94.45,-0.079461765,34.0,29976.428571428572,30465.333333333332,94.81285714285715
2018-07-23,29914.0,94.67,0.001394444,54.0,29939.14285714286,30427.966666666667,94.79285714285713
2018-07-24,29912.0,94.61,-0.0223675,80.0,29907.85714285714,30393.3,94.77285714285713
2018-07-25,29959.0,94.36,-0.00624,65.0,29887.285714285714,30360.2,94.75142857142858
2018-07-26,29836.0,94.75,0.022161333,75.0,29898.571428571428,30316.566666666666,94.72428571428573
2018-07-27,29805.0,94.67,0.073232558,43.0,29899.428571428572,30283.266666666666,94.66571428571429
2018-07-30,29755.0,94.32,-0.028057407,54.0,29876.85714285714,30249.333333333332,94.54714285714286
2018-07-31,29638.0,94.49,-0.029650562,89.0,29831.285714285714,30213.866666666665,94.55285714285715
2018-08-01,29462.0,94.62,0.017655319,47.0,29766.714285714286,30175.766666666666,94.5457142857143
2018-08-02,29520.0,95.16,-0.055570513,78.0,29710.714285714286,30144.733333333334,94.62428571428572
2018-08-03,29800.0,95.14,0.059160526,38.0,29688.0,30121.466666666667,94.73571428571428
2018-08-06,29563.0,95.36,0.003445614,57.0,29649.0,30088.9,94.82285714285715
2018-08-07,29534.0,95.22,0.044420339,59.0,29610.285714285714,30057.366666666665,94.90142857142858
