Date,USD_Price,USD_Open,USD_High,USD_Low,Vol._x,USD_Change,Gold_Price,Gold_Open,Gold_High,Gold_Low,Vol._y,Gold_Change
2026-02-25,97.7,97.85,98.0,97.62,,-0.15%,5208.0,"5,135.60","5,214.00","5,129.50",1.77K,0.97%
2026-02-26,97.79,97.59,97.98,97.49,,0.09%,5194.2,"5,175.30","5,221.90","5,144.80",131.63K,-0.26%
2026-02-27,97.61,97.75,97.85,97.56,,-0.19%,5247.9,"5,201.90","5,299.00","5,182.90",151.66K,1.03%
2026-03-02,98.38,97.87,98.75,97.77,,0.79%,5311.6,"5,360.00","5,434.10","5,272.90",227.84K,1.21%
2026-03-03,99.05,98.56,99.68,98.43,,0.68%,5123.7,"5,335.70","5,394.20","5,005.00",273.22K,-3.54%
2026-03-04,98.77,99.11,99.33,98.7,,-0.29%,5134.7,"5,110.00","5,218.30","5,092.80",146.89K,0.21%
2026-03-05,99.32,98.77,99.41,98.67,,0.55%,5078.7,"5,155.70","5,204.30","5,058.90",151.85K,-1.09%
2026-03-06,98.99,99.01,99.43,98.84,,-0.33%,5158.7,"5,099.70","5,185.00","5,071.00",160.27K,1.58%
2026-03-09,99.18,98.86,99.69,98.7,,0.19%,5103.7,"5,186.70","5,210.40","5,021.20",181.75K,-1.07%
2026-03-10,98.83,98.8,98.95,98.49,,-0.35%,5242.1,"5,152.40","5,248.70","5,127.10",179.58K,2.71%
2026-03-11,99.23,98.94,99.3,98.7,,0.41%,5179.1,"5,194.00","5,230.90","5,155.90",140.34K,-1.20%
2026-03-12,99.74,99.45,99.76,99.25,,0.51%,5125.8,"5,185.40","5,197.80","5,058.20",153.53K,-1.03%
2026-03-13,100.36,99.69,100.54,99.59,,0.62%,5061.7,"5,084.00","5,132.40","5,014.10",160.33K,-1.25%
2026-03-16,99.71,100.43,100.48,99.66,,-0.65%,5039.4,"5,049.30","5,082.00","5,009.50",32.01K,-0.44%
2026-03-17,99.57,99.86,100.11,99.5,,-0.14%,5045.6,"5,049.10","5,085.00","5,014.40",20.54K,0.12%
2026-03-18,100.09,99.55,100.31,99.46,,0.51%,4932.9,"5,046.60","5,058.40","4,846.60",47.59K,-2.23%
2026-03-19,99.23,100.23,100.31,98.97,,-0.85%,4640.5,"4,860.50","4,903.30","4,539.50",66.19K,-5.93%
2026-03-20,99.65,99.29,99.79,99.25,,0.42%,4609.6,"4,689.40","4,773.30","4,512.10",48.02K,-0.67%
2026-03-23,98.95,99.68,100.15,98.88,,-0.70%,4439.5,"4,495.00","4,569.70","4,128.50",125.53K,-3.69%
2026-03-24,99.31,99.17,99.45,99.1,,0.36%,4434.71,"4,475.35","4,480.71","4,340.00",24.74K,-0.11%
