Date,Gold_Price,Open_x,High_x,Low_x,Volume,Chg%,USD_Price,Open_y,High_y,Low_y,Change %,avg_sentiment,news_count
2020-01-01,38938,38980,39067,38900,120,-0.16,96.39,96.5,97.1,96.39,0.00%,-0.01617,10
2019-12-31,38999,39019,39099,38869,630,0.45,96.39,96.73,96.73,96.36,-0.36%,-0.034021569,51
2019-12-30,38823,38993,38994,38701,5570,-0.4,96.74,97.02,97.02,96.61,-0.19%,0.034865,40
2019-12-27,38978,38805,38995,38685,11520,0.54,96.92,97.54,97.55,96.92,-0.63%,0.009313333,15
2019-12-26,38767,38650,38816,38619,16480,0.37,97.53,97.62,97.71,97.49,-0.12%,0.029435135,37
2019-12-24,38624,38240,38644,38240,13880,1.03,97.65,97.66,97.8,97.61,-0.01%,-0.012627778,18
2019-12-23,38231,37999,38270,37999,10200,0.6,97.66,97.67,97.82,97.58,-0.03%,0.027205455,55
2019-12-20,38002,38076,38120,37965,12050,-0.28,97.69,97.39,97.76,97.38,0.32%,0.033192063,63
2019-12-19,38110,37998,38140,37880,13070,0.47,97.38,97.4,97.49,97.22,-0.02%,0.053017568,74
2019-12-18,37932,37937,37994,37817,12090,-0.08,97.4,97.23,97.47,97.22,0.19%,-0.002916176,68
2019-12-17,37961,37863,37987,37850,11990,0.23,97.22,97.14,97.3,97.03,0.21%,0.013122951,61
2019-12-16,37873,37740,37948,37735,13050,0.26,97.02,97.18,97.18,96.93,-0.15%,-0.006446774,62
2019-12-13,37776,37512,37810,37400,21940,0.58,97.17,96.78,97.24,96.72,-0.24%,-0.004254286,70
2019-12-12,37559,37749,38044,37500,22610,-0.36,97.4,97.08,97.52,96.59,0.33%,0.025647826,69
2019-12-11,37693,37602,37741,37554,10900,0.24,97.08,97.51,97.6,97.04,-0.34%,-0.004878205,78
2019-12-10,37604,37604,37728,37550,12400,-0.09,97.41,97.65,97.66,97.4,-0.24%,0.008927632,76
2019-12-09,37638,37774,37774,37610,9220,-0.29,97.64,97.68,97.72,97.56,-0.06%,-0.129529032,62
2019-12-06,37748,38087,38170,37711,16890,-0.91,97.7,97.38,97.84,97.36,0.30%,0.090929091,55
2019-12-05,38095,38245,38245,37800,30,-0.24,97.41,97.59,97.59,97.36,-0.25%,0.020048276,58
2019-12-04,38188,38563,38563,38081,50,-0.21,97.65,97.71,97.79,97.43,-0.09%,-0.007983824,68
2019-12-03,38267,37874,38400,37840,150,0.93,97.74,97.89,97.94,97.64,-0.12%,-0.071317978,89
2019-12-02,37915,38240,38240,37715,890,-0.12,97.86,98.27,98.38,97.81,-0.42%,-0.052956923,65
2019-11-29,37961,37770,38070,37711,4270,0.48,98.27,98.34,98.54,98.22,-0.10%,-0.021186441,59
2019-11-28,37780,37511,37837,37511,9500,0.54,98.37,98.33,98.4,98.26,0.00%,-0.037289189,74
2019-11-27,37578,37753,37753,37530,11790,-0.52,98.37,98.3,98.44,98.28,0.12%,0.0884,44
2019-11-26,37775,37747,37830,37615,15750,-0.02,98.25,98.33,98.38,98.23,-0.07%,-0.012475385,65
2019-11-25,37782,37891,37905,37736,14900,-0.38,98.32,98.27,98.38,98.17,0.05%,0.080959722,72
2019-11-22,37927,37975,38150,37905,20370,-0.12,98.27,97.93,98.31,97.84,0.29%,-0.018817333,75
2019-11-21,37971,38156,38200,37945,20030,-0.48,97.99,97.86,98.03,97.73,0.06%,-0.000218987,79
2019-11-20,38155,38218,38325,38020,23560,-0.13,97.93,97.84,98.04,97.84,0.07%,0.031590991,111
2019-11-19,38206,38223,38230,37920,24870,-0.06,97.86,97.81,97.89,97.75,0.07%,-0.047597333,75
2019-11-18,38228,37943,38249,37810,23230,0.59,97.79,97.98,97.98,97.68,-0.21%,0.021642857,77
2019-11-15,38002,38236,38236,37922,17270,-0.7,98.0,98.17,98.23,97.96,-0.16%,0.007006494,77
2019-11-14,38269,38106,38295,38060,20590,0.43,98.16,98.34,98.42,98.11,-0.21%,0.027723684,76
2019-11-13,38107,37820,38150,37800,23100,0.97,98.37,98.33,98.45,98.29,0.06%,-0.014919355,93
2019-11-12,37740,37650,37800,37542,12900,0.14,98.31,98.21,98.42,98.21,0.11%,-0.021373016,63
2019-11-11,37688,37710,37850,37532,17280,-0.05,98.2,98.37,98.38,98.13,-0.15%,0.004870769,65
2019-11-08,37705,37655,37880,37488,27500,0.29,98.35,98.14,98.4,98.1,0.21%,0.007970968,62
2019-11-07,37595,38188,38245,37536,27880,-1.68,98.14,97.95,98.23,97.82,0.19%,-0.010544554,101
2019-11-06,38239,37980,38273,37957,20310,-0.57,97.95,97.94,97.98,97.78,-0.03%,0.025502247,89
2019-11-05,38458,38839,39049,38300,170,-0.71,97.98,97.55,98.01,97.47,0.49%,0.027495181,83
2019-11-04,38734,39500,39500,38645,180,0.21,97.5,97.22,97.58,97.17,0.27%,-0.004813415,82
2019-11-01,38652,38759,38800,38518,720,-0.49,97.24,97.3,97.45,97.11,-0.11%,0.036987,100
2019-10-31,38842,38300,38898,38300,2300,1.23,97.35,97.44,97.45,97.22,-0.31%,0.025683607,122
2019-10-30,38369,38194,38384,38078,6370,0.68,97.65,97.67,98.0,97.45,-0.04%,-0.02988018,111
2019-10-29,38110,38063,38194,37988,11170,0.02,97.69,97.75,97.93,97.61,-0.07%,0.00405,88
2019-10-28,38103,38388,38388,38070,7520,-0.46,97.76,97.85,97.89,97.67,-0.07%,0.053015094,53
2019-10-25,38362,38450,38690,38325,19570,-0.23,97.83,97.69,97.9,97.57,0.20%,-0.00995,86
2019-10-24,38452,38175,38475,38109,14660,0.86,97.63,97.46,97.78,97.28,0.14%,0.069907595,79
2019-10-23,38124,38090,38249,38090,12600,0.26,97.49,97.49,97.65,97.42,-0.04%,0.0181,75
2019-10-22,38025,37901,38060,37900,13840,0.15,97.53,97.31,97.57,97.26,0.21%,-0.024639744,78
2019-10-21,37969,38098,38144,37940,10410,-0.4,97.33,97.34,97.4,97.15,0.05%,-0.029871667,60
2019-10-18,38121,38179,38212,38025,16230,-0.25,97.28,97.6,97.66,97.14,-0.34%,-0.003960317,63
2019-10-17,38216,38190,38250,38001,20290,-0.08,97.61,97.99,98.11,97.5,-0.40%,-0.053432099,81
2019-10-16,38248,38175,38271,37980,26510,0.48,98.0,98.32,98.42,97.9,-0.30%,-0.056904054,74
2019-10-15,38067,38259,38406,38021,23550,-0.48,98.29,98.45,98.64,98.21,-0.16%,0.022570513,78
2019-10-14,38250,37795,38286,37757,21990,1.09,98.45,98.36,98.53,98.34,0.15%,-0.038,56
2019-10-11,37839,38050,38263,37736,27080,-0.74,98.3,98.7,98.74,98.2,-0.41%,-0.022736709,79
2019-10-10,38120,38400,38434,38030,20640,-0.69,98.7,98.98,99.07,98.62,-0.42%,-0.070603659,82
2019-10-09,38384,38279,38418,38154,20030,0.37,99.12,99.09,99.16,98.9,-0.01%,-0.036260526,76
2019-10-08,38242,38179,38400,38179,10520,0.7,99.13,98.98,99.25,98.85,0.16%,-0.065883099,71
2019-10-07,37978,38225,38302,37765,15800,-0.06,98.97,98.82,99.0,98.74,0.16%,-0.14925,54
2019-10-04,38002,37948,38215,37879,150,-0.03,98.81,98.87,99.0,98.73,-0.05%,-0.044553731,67
2019-10-03,38012,37583,38215,37583,380,1.7,98.86,99.03,99.19,98.64,-0.16%,-0.068994805,77
2019-10-01,37377,36979,37507,36750,3670,1.37,99.13,99.4,99.67,99.07,-0.25%,-0.145570313,64
2019-09-30,36873,37600,37620,36811,17000,-2.21,99.38,99.12,99.46,99.05,0.27%,-0.060610345,58
2019-09-27,37706,37824,37824,37301,27420,-0.18,99.11,99.19,99.31,98.99,-0.02%,-0.061624324,74
2019-09-26,37773,37572,37825,37427,25210,0.54,99.13,98.96,99.28,98.84,0.09%,0.006411538,78
2019-09-25,37571,38010,38170,37455,27540,-1.37,99.04,98.38,99.06,98.36,0.71%,-0.084006306,111
2019-09-24,38091,37899,38140,37758,25610,0.49,98.34,98.64,98.7,98.29,-0.26%,-0.121562222,90
2019-09-23,37905,37750,37960,37725,19980,0.63,98.6,98.51,98.83,98.45,0.09%,-0.077861475,122
2019-09-20,37669,37700,37749,37437,20700,-0.01,98.51,98.34,98.64,98.14,0.24%,-0.115592308,78
2019-09-19,37672,37700,37767,37525,23030,-0.44,98.27,98.57,98.62,98.2,-0.29%,0.008941772,79
2019-09-18,37837,38067,38067,37728,19420,-0.42,98.56,98.21,98.69,98.19,0.31%,-0.139333784,74
2019-09-17,37995,38068,38165,37853,24420,-0.43,98.26,98.65,98.74,98.19,-0.35%,-0.059561,100
2019-09-16,38161,37749,38188,37749,25820,1.72,98.61,98.12,98.71,98.03,0.36%,-0.17837439,82
2019-09-13,37517,37700,37891,37451,28040,-0.61,98.26,98.41,98.43,97.86,-0.05%,0.041683871,31
2019-09-12,37747,37900,38215,37662,41660,-0.57,98.31,98.63,99.1,98.19,-0.33%,-0.053112963,108
2019-09-11,37965,38200,38260,37931,27740,-0.74,98.64,98.33,98.75,97.86,0.32%,-0.079741791,67
2019-09-10,38248,38382,38487,38200,18610,-0.55,98.33,98.33,98.46,98.26,0.05%,-0.048373469,49
2019-09-09,38459,38578,39699,38265,31730,-0.24,98.28,98.42,98.51,98.14,-0.11%,-0.012165152,66
2019-09-06,38551,38821,38962,38385,40450,0.12,98.39,98.42,98.52,98.01,-0.02%,0.022706897,29
2019-09-05,38504,39198,39370,38353,630,-2.12,98.41,98.4,98.53,98.08,-0.04%,-0.013782857,70
2019-09-04,39337,39337,39490,38981,1850,0.06,98.45,98.96,98.97,98.39,-0.56%,-0.043513433,67
2019-09-03,39314,38852,39431,38634,1200,1.57,99.0,99.08,99.37,98.92,0.08%,-0.102308197,61
2019-09-02,38708,38520,38800,38400,2320,1.07,98.92,98.83,99.13,98.81,0.00%,-0.047124444,45
2019-08-30,38300,38424,38588,38224,16910,-0.33,98.92,98.43,99.02,98.41,0.42%,-0.083461194,67
2019-08-29,38426,38740,38998,38289,24910,-0.89,98.51,98.19,98.55,98.16,0.31%,-0.009769231,65
2019-08-28,38772,38547,38879,38465,19150,0.33,98.21,98.01,98.26,98.0,0.21%,-0.042932394,71
2019-08-27,38644,38367,38679,38331,20050,0.6,98.0,98.05,98.05,97.86,-0.08%,-0.12149403,67
2019-08-26,38415,38550,38869,38360,28460,0.15,98.08,97.59,98.09,97.48,0.45%,-0.005196154,52
2019-08-23,38357,37700,38426,37595,28960,1.53,97.64,98.19,98.45,97.17,-0.54%,-0.096691964,112
2019-08-22,37779,37560,37800,37501,20060,0.48,98.17,98.25,98.39,98.08,-0.13%,-0.0939,63
2019-08-21,37598,37555,37636,37441,15780,-0.11,98.3,98.17,98.33,97.95,0.11%,-0.04993913,69
2019-08-20,37640,37400,37680,37350,19810,0.42,98.19,98.36,98.45,98.12,-0.16%,-0.028405882,68
2019-08-19,37484,37340,37525,37270,22990,-0.01,98.35,98.17,98.39,98.13,0.21%,-0.194286957,46
2019-08-16,37487,37880,37941,37281,24290,-0.53,98.14,98.13,98.34,98.11,0.00%,-0.119515686,51
2019-08-14,37688,37274,37844,37188,33320,1.13,97.99,97.8,98.05,97.67,0.18%,0.014066667,60
2019-08-13,37268,37860,38147,36860,41660,-1.44,97.81,97.48,97.85,97.32,0.44%,-0.052933333,60
2019-08-12,37812,37620,37909,37620,9180,0.68,97.38,97.53,97.74,97.32,-0.11%,-0.045397015,67
2019-08-09,37558,37419,37684,37355,22870,0.66,97.49,97.57,97.64,97.03,-0.13%,-0.090315094,53
2019-08-08,37311,37899,37899,37175,33790,-1.55,97.62,97.6,97.74,97.43,0.08%,-0.017455172,58
2019-08-07,37899,37250,38125,37250,44110,1.93,97.54,97.56,97.85,97.31,-0.09%,-0.002319718,71
2019-08-06,37182,37003,37207,36621,27320,1.28,97.63,97.25,97.77,97.21,0.11%,-0.070920968,62
2019-08-05,36711,36412,36775,36240,290,2.82,97.52,98.11,98.14,97.38,-0.56%,-0.064245313,64
2019-08-02,35705,35200,35840,35100,820,1.63,98.07,98.41,98.45,98.05,-0.30%,-0.029912,50
2019-08-01,35134,34520,35500,34430,2710,1.21,98.37,98.59,98.93,98.27,-0.15%,-0.133645283,106
2019-07-31,34714,34830,34830,34625,8500,-0.07,98.52,98.03,98.68,98.0,0.48%,-0.067224691,81
2019-07-30,34737,34823,34898,34520,18210,-0.15,98.05,98.07,98.21,98.02,0.01%,-0.060029487,78
2019-07-29,34788,34839,34881,34735,10730,-0.08,98.04,97.99,98.17,97.9,0.03%,0.0333375,56
2019-07-26,34815,34870,34905,34760,14310,-0.1,98.01,97.79,98.09,97.76,0.19%,0.159123077,39
2019-07-25,34850,34981,35121,34802,21460,-0.53,97.82,97.69,97.92,97.5,0.09%,-0.008677273,88
2019-07-24,35036,35012,35090,34921,15420,0.02,97.73,97.72,97.81,97.55,0.03%,-0.022108065,62
2019-07-23,35030,35065,35135,34907,20410,-0.32,97.7,97.3,97.74,97.3,0.45%,0.061883077,65
2019-07-22,35143,35100,35189,35035,16100,0.31,97.26,97.14,97.3,97.13,0.11%,0.022765455,55
2019-07-19,35033,35180,35380,35003,29520,-0.24,97.15,96.82,97.29,96.76,0.37%,-0.032986538,52
2019-07-18,35117,35100,35150,34851,31100,0.22,96.79,97.19,97.26,96.67,-0.44%,-0.003920313,64
2019-07-17,35039,34700,35080,34611,27570,0.87,97.22,97.36,97.44,97.16,-0.17%,-0.001844,50
2019-07-16,34738,34809,34839,34639,25480,-0.16,97.39,96.92,97.44,96.92,0.47%,0.016985915,71
2019-07-15,34792,34740,34850,34687,19680,-0.06,96.93,96.84,96.97,96.75,0.12%,-0.006780597,67
2019-07-12,34812,34698,34862,34611,23110,0.58,96.81,97.08,97.12,96.72,-0.25%,-0.005467568,37
2019-07-11,34612,34800,34995,34591,34610,-0.44,97.05,97.06,97.15,96.8,-0.05%,0.001027119,59
2019-07-10,34765,34469,34806,34332,31360,0.67,97.1,97.51,97.55,97.03,-0.40%,-0.003209836,61
2019-07-09,34533,34499,34581,34300,25570,-0.01,97.49,97.38,97.59,97.36,0.11%,-0.053283871,62
2019-07-08,34535,34550,34759,34475,23910,0.48,97.38,97.23,97.42,97.16,0.09%,-0.064801786,56
2019-07-05,34370,34395,35037,33900,40,1.02,97.29,96.72,97.44,96.72,0.54%,0.014954902,51
2019-07-04,34023,34199,34300,33911,180,-0.16,96.77,96.71,96.81,96.66,0.00%,-0.0598075,40
2019-07-03,34077,33801,34750,33801,190,0.88,96.77,96.73,96.87,96.59,0.04%,-0.06697234,47
2019-07-02,33779,33530,33804,33507,350,1.29,96.73,96.81,96.88,96.6,-0.11%,0.062472581,62
2019-07-01,33348,33777,33777,33210,3840,-1.76,96.84,96.25,96.87,96.25,0.74%,-0.044566102,59
2019-06-28,33947,34000,34200,33900,11220,0.05,96.13,96.19,96.3,96.02,-0.06%,0.07127069,58
2019-06-27,33931,34270,34270,33777,13580,-0.6,96.19,96.17,96.39,96.14,-0.02%,-0.073511268,71
2019-06-26,34135,34160,34173,33964,20450,-0.48,96.21,96.18,96.34,96.07,0.07%,-0.113719512,82
2019-06-25,34300,34345,34599,34160,30860,0.25,96.14,96.0,96.36,95.84,0.17%,-0.033816393,61
2019-06-24,34214,34100,34259,34031,15550,0.75,95.98,96.18,96.2,95.97,-0.25%,-0.091933333,60
2019-06-21,33960,33890,34297,33709,27580,0.36,96.22,96.62,96.71,96.09,-0.42%,-0.124795238,63
2019-06-20,33838,33000,33876,33000,26730,2.61,96.63,97.17,97.2,96.57,-0.50%,-0.065335185,54
2019-06-19,32976,32907,32999,32875,10560,0.11,97.12,97.63,97.68,97.09,-0.53%,-0.005893548,93
2019-06-18,32939,32974,33149,32846,21560,-0.07,97.64,97.53,97.77,97.37,0.08%,-0.032650526,95
2019-06-17,32961,33015,33080,32826,15540,-0.07,97.56,97.52,97.6,97.34,-0.01%,-0.058571053,38
2019-06-14,32984,32950,33241,32950,21100,0.3,97.57,97.01,97.58,96.94,0.58%,-0.025062295,61
2019-06-13,32884,32739,32918,32662,12030,0.61,97.01,96.96,97.08,96.87,0.01%,-0.085947059,68
2019-06-12,32685,32617,32776,32617,11390,0.33,97.0,96.71,97.02,96.58,0.32%,-0.018581333,75
2019-06-11,32576,32640,32662,32431,10980,-0.11,96.69,96.75,96.88,96.64,-0.07%,0.019501613,62
2019-06-10,32611,32800,32800,32585,9620,-0.78,96.76,96.64,96.94,96.63,0.23%,0.030934783,69
2019-06-07,32867,32641,32944,32610,18520,0.41,96.54,97.01,97.18,96.46,-0.52%,-0.079804286,70
2019-06-06,32734,32631,32760,32631,10040,0.39,97.04,97.29,97.35,96.78,-0.29%,-0.03300641,78
2019-06-05,32607,32540,32866,32540,11500,0.44,97.32,97.12,97.37,96.75,0.26%,-0.020716129,93
2019-06-04,32465,32500,32800,32300,120,0.19,97.07,97.21,97.33,97.0,-0.07%,-0.02038,80
2019-06-03,32405,32147,32499,32113,1290,0.85,97.14,97.64,97.8,97.11,-0.62%,-0.044111429,70
2019-05-31,32131,31810,32165,31810,8390,0.94,97.75,98.15,98.17,97.61,-0.40%,-0.068376563,64
2019-05-30,31831,31721,31896,31560,10730,0.22,98.14,98.13,98.28,98.09,0.00%,-0.0948375,64
2019-05-29,31760,31651,31850,31638,12930,0.61,98.14,97.92,98.21,97.86,0.19%,-0.099309677,62
2019-05-28,31569,31629,31718,31510,11670,-0.19,97.95,97.74,97.98,97.7,0.35%,0.103341667,48
2019-05-27,31630,31588,31716,31580,8360,0.24,97.61,97.57,97.79,97.55,0.00%,0.03037931,29
2019-05-24,31554,31681,31710,31518,10690,-0.45,97.61,97.83,97.91,97.55,-0.26%,-0.026163333,30
2019-05-23,31696,31401,31757,31265,16970,0.78,97.86,98.06,98.37,97.81,-0.18%,-0.113108511,94
2019-05-22,31452,31460,31568,31416,9610,0.03,98.04,98.02,98.12,97.89,-0.02%,-0.038066216,74
2019-05-21,31442,31549,31549,31410,11490,-0.39,98.06,97.92,98.13,97.82,0.13%,-0.172773973,73
2019-05-20,31566,31777,31777,31101,14610,-0.76,97.93,97.96,98.04,97.88,-0.07%,-0.10672459,61
2019-05-17,31809,31991,32039,31785,17350,-0.55,98.0,97.83,98.03,97.77,0.14%,-0.125902703,74
2019-05-16,31985,32261,32320,31931,18620,-0.86,97.86,97.54,97.88,97.44,0.30%,-0.056904598,87
2019-05-15,32261,32300,32410,32165,17660,0.04,97.57,97.53,97.7,97.44,0.04%,-0.03459359,78
2019-05-14,32248,32451,32451,32235,17750,-0.77,97.53,97.32,97.56,97.27,0.22%,-0.053576316,76
2019-05-13,32499,31900,32538,31885,25010,1.82,97.32,97.3,97.38,97.03,-0.01%,-0.056315854,82
2019-05-10,31917,31895,32004,31790,15880,-0.03,97.33,97.43,97.45,97.13,-0.04%,0.009744792,96
2019-05-09,31926,31749,32049,31719,18690,0.72,97.37,97.58,97.7,97.24,-0.26%,0.101369014,71
2019-05-08,31697,31740,31930,31676,16670,-0.13,97.62,97.57,97.68,97.42,-0.01%,-0.029013514,74
2019-05-07,31739,31600,31758,31542,12370,0.51,97.63,97.52,97.74,97.38,0.11%,0.023252,75
2019-05-06,31578,31495,31659,31495,12070,0.76,97.52,97.56,97.7,97.46,0.00%,-0.005079245,53
2019-05-03,31341,31250,31500,31163,80,0.44,97.52,97.83,98.1,97.41,-0.32%,0.081173077,26
2019-05-02,31203,31420,31425,31160,480,-1.14,97.83,97.63,97.85,97.51,0.14%,-0.063955294,85
2019-05-01,31563,31604,31657,31503,1550,-0.2,97.69,97.53,97.73,97.15,0.22%,0.072262687,67
2019-04-30,31625,31800,31824,31597,6440,-0.76,97.48,97.84,97.89,97.44,-0.39%,0.085407143,84
2019-04-26,31868,31851,31934,31705,9670,0.08,98.01,98.12,98.33,97.85,-0.19%,0.037622973,74
2019-04-25,31843,31750,31926,31641,11640,0.26,98.2,98.1,98.32,97.99,0.03%,-0.02869,90
2019-04-24,31759,31480,31799,31450,12640,0.74,98.17,97.59,98.19,97.59,0.54%,0.017393056,72
2019-04-23,31525,31490,31566,31401,9920,-0.02,97.64,97.28,97.78,97.28,0.36%,0.009585556,90
2019-04-22,31531,31497,31697,31497,9890,0.41,97.29,97.38,97.41,97.26,-0.09%,-0.030079688,64
2019-04-18,31403,31474,31544,31355,9870,-0.02,97.47,97.01,97.48,96.96,0.47%,0.040157692,78
2019-04-17,31410,31500,31525,31393,5650,-0.2,97.01,97.07,97.12,96.82,-0.03%,0.059928571,91
